subject_id,subject_type_id,subject_name,credits,havePrerequisite,prerequisite_id
IP478,2,เศรษฐมิติขั้นกลาง,3,1,IP331
IP479,2,การเมืองและธุรกิจในเอเชียตะวันออกและเอเชียตะวันออกเฉียงใต้,3,0,None
IP486,2,ปรัชญาและภาพยนตร์,3,0,None
IP487,2,ประวัติศาสตร์แนวคิดทางเศรษฐศาสตร์ จากสมิธถึงยุคปัจจุบัน,3,0,None
IP488,2,เศรษฐศาสตร์เกษตรเบื้องต้น,3,0,None
IP489,2,เศรษฐศาสตร์ว่าด้วยนวัตกรรม,3,0,None
IP496,2,ปรัชญาและวิธีวิทยาการวิจัยเชิงปริมาณ,3,0,None
IP497,2,ปรัชญาและวิธีวิทยาการวิจัยเชิงคุณภาพ,3,0,None
IP498,2,ปรัชญาวิทยาศาสตร์,3,0,None
IP499,2,เศรษฐศาสตร์การเงินและตลาดการเงิน,3,0,None
IP500,2,การฝึกปฏิบัติงาน,3,0,None
IP501,2,ภาคนิพนธ์ 1,2,0,None
IP502,2,ภาคนิพนธ์ 2,4,0,None
IP546,2,เศรษฐศาสตร์อุตสาหกรรมและการประยุกต์,3,0,None
IP547,2,การพัฒนาเมืองและชนบท,3,0,None
IP548,2,เศรษฐศาสตร์ระหว่างประเทศเบื้องต้น,3,1,"IP224,IP225"
JP171,1,ภาษาญี่ปุ่น 1,3,0,None
JP172,1,ภาษาญี่ปุ่น 2,3,1,JP171
RS171,1,ภาษารัสเซีย 1,3,0,None
RS172,1,ภาษารัสเซีย 2,3,1,RS171
SI110,1,การค้นคว้าและเขียนรายงานวิชาการ,3,0,None
SI111,1,ไวยากรณ์ภาษาอังกฤษแบบเข้ม,3,0,None
SI201,2,วัฒนธรรมศึกษา,3,0,None
SI202,2,ทฤษฎีสังคมศาสตร์,3,0,None
SI203,2,เศรษฐศาสตร์เพื่อสหวิทยาการ,3,0,None
SI204,2,รัฐศาสตร์เพื่อสหวิทยาการ,3,0,None
SI205,2,การบริหารธุรกิจเพื่อสหวิทยาการ,3,0,None
SI206,2,สิ่งแวดล้อมกับการพัฒนา,3,0,None
SI207,2,หลักนิติธรรมและกฎหมายเบื้องต้น,3,0,None
SI208,2,การวิจัยเชิงคุณภาพเพื่อสหวิทยาการ,3,0,None
SI209,2,การวิจัยเชิงปริมาณทางสังคมศาสตร์,3,0,None
SI211,2,ภาษาอังกฤษสำหรับสังคมศาสตร์,3,1,TU105
SI212,2,ภาษาอังกฤษเพื่อการสื่อสาร,3,1,TU105
SI213,2,ภาษาจีนเบื้องต้น 1,3,0,None
SI214,2,ภาษาจีนเบื้องต้น 2,3,0,None
SI321,2,กฎหมายระหว่างประเทศ,3,0,None
SI322,2,เอเชียในบริบทโลก,3,0,None
SI323,2,เศรษฐศาสตร์ระหว่างประเทศ,3,0,None
SI324,2,แนวคิดว่าด้วยการพัฒนา,3,0,None
SI325,2,ทุนทางสังคมและวัฒนธรรม,3,0,None
SI326,2,การบริหารและการจัดการองค์กร,3,0,None
